,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR,TimeFrame,Name,cluster,num_of_20_wins,IP,ERA
227,mcdowsa01,141,134,425,346,103,14,7477,1948,879,164,1312,2453,3.468,74.0,140,59.0,7,10587.0,39,999,0.0,0.0,0.0,15,0.0,0,43.13999999999999,1961 - 1975,Sam McDowell,2,1.0,2492.3333333333335,3.174134010966965
236,vealebo01,120,95,397,255,78,21,5778,1684,658,91,858,1703,3.3170000000000006,62.0,92,29.0,9,8163.0,63,755,0.0,0.0,0.0,13,0.0,0,24.65,1962 - 1974,Bob Veale,2,0.0,1926.0,3.074766355140187
264,ryanno01,324,292,807,773,222,3,16158,3923,1911,321,2795,5714,5.637000000000001,78.0,277,158.0,33,22575.0,13,2178,0.0,0.0,0.0,27,1.0,BBWAA,83.6,1966 - 1993,Nolan Ryan,2,2.0,5386.0,3.1932788711474194
308,burrira01,108,134,480,302,47,4,6566,2310,1015,221,764,1065,4.764,76.0,69,54.0,14,9441.0,65,1133,110.0,72.0,161.0,15,0.0,0,15.12,1973 - 1987,Ray Burris,2,0.0,2188.6666666666665,4.173773987206824
310,rogerst01,158,152,399,393,129,2,8513,2619,1001,151,876,1621,3.274,75.0,87,43.0,8,11702.0,3,1122,153.0,70.0,246.0,13,0.0,0,45.09,1973 - 1985,Steve Rogers,2,0.0,2837.6666666666665,3.174791495360038
311,ruthvdi01,123,127,355,332,61,1,6327,2155,970,165,767,1145,4.340000000000001,72.0,53,38.0,22,9047.0,12,1075,92.0,71.0,190.0,14,0.0,0,17.349999999999998,1973 - 1986,Dick Ruthven,2,0.0,2109.0,4.139402560455192
312,tananfr01,240,236,638,616,143,1,12565,4063,1704,448,1255,2773,5.8290000000000015,116.0,119,129.0,27,17641.0,10,1910,165.0,117.0,309.0,21,0.0,0,57.1,1973 - 1993,Frank Tanana,2,0.0,4188.333333333333,3.6615996816553924
313,zahnge01,111,109,304,270,79,1,5547,1978,769,149,526,705,3.813,28.0,32,19.0,4,7798.0,13,889,81.0,56.0,249.0,13,0.0,0,20.47,1973 - 1985,Geoff Zahn,2,0.0,1849.0,3.7431043807463493
314,dennyjo01,123,108,325,322,62,0,6446,2093,856,137,778,1146,3.596000000000001,49.0,68,54.0,12,9077.0,0,967,82.0,46.0,250.0,13,0.0,0,31.1,1974 - 1986,John Denny,2,0.0,2148.6666666666665,3.585479367049333
316,forscbo01,168,136,498,422,67,3,8384,2777,1169,216,832,1133,4.557,84.0,93,45.0,18,11715.0,19,1319,106.0,101.0,270.0,16,0.0,0,18.87,1974 - 1989,Bob Forsch,2,1.0,2794.6666666666665,3.7646708015267176
320,montejo01,90,83,298,244,32,5,4957,1604,650,135,513,1081,3.686,57.0,29,29.0,10,6983.0,17,728,83.0,59.0,94.0,13,0.0,0,21.54,1974 - 1986,John Montefusco,2,0.0,1652.3333333333333,3.5404478515230986
321,rhoderi01,151,125,413,380,69,1,7781,2606,1036,198,801,1419,4.137,62.0,80,39.0,31,10900.0,14,1143,105.0,66.0,223.0,16,0.0,0,30.1,1974 - 1989,Rick Rhoden,2,0.0,2593.6666666666665,3.5949106798612007
322,ruhleve01,67,88,327,188,29,11,4234,1483,585,119,348,582,3.483,37.0,15,35.0,5,5964.0,45,675,61.0,37.0,127.0,13,0.0,0,11.96,1974 - 1986,Vern Ruhle,2,0.0,1411.3333333333333,3.7305148795465284
325,candejo01,177,122,600,356,54,29,7577,2399,935,245,592,1673,6.018999999999999,63.0,28,37.0,26,10366.0,82,1038,105.0,93.0,182.0,19,0.0,0,39.91,1975 - 1993,John Candelaria,2,1.0,2525.6666666666665,3.3317935858519205
327,flanami01,167,143,526,404,101,4,8310,2806,1199,251,890,1491,5.135,41.0,84,41.0,12,11684.0,49,1301,110.0,76.0,301.0,18,0.0,0,25.53,1975 - 1992,Mike Flanagan,2,1.0,2770.0,3.895667870036101
328,guidrro01,170,91,368,323,95,4,7176,2198,874,226,633,1778,3.485,24.0,56,13.0,8,9794.0,23,953,70.0,65.0,172.0,14,0.0,0,47.85,1975 - 1988,Ron Guidry,2,3.0,2392.0,3.2884615384615383
333,andujjo01,127,118,405,305,68,9,6459,2016,857,155,731,1032,3.5880000000000005,65.0,33,51.0,33,9008.0,37,955,97.0,55.0,168.0,13,0.0,0,16.71,1976 - 1988,Joaquin Andujar,2,2.0,2153.0,3.582443102647469
335,kneppbo01,146,155,445,413,78,1,8124,2737,1106,228,857,1473,4.287,78.0,60,47.0,13,11488.0,10,1258,134.0,73.0,262.0,15,0.0,0,20.94,1976 - 1990,Bob Knepper,2,0.0,2708.0,3.6757754800590843
336,krukomi01,124,117,369,355,41,1,6572,2188,949,196,767,1478,3.694,84.0,71,47.0,22,9393.0,4,1069,100.0,69.0,147.0,14,0.0,0,21.35,1976 - 1989,Mike Krukow,2,1.0,2190.6666666666665,3.8988131466828975
337,martide01,245,193,692,562,122,8,11999,3897,1643,372,1165,2149,6.353,71.0,83,122.0,30,16754.0,51,1835,120.0,109.0,332.0,23,0.0,0,49.26,1976 - 1998,Dennis Martinez,2,0.0,3999.6666666666665,3.6970580881740145
338,mcgresc01,138,108,356,309,83,5,6422,2245,949,235,518,904,3.667,26.0,28,26.0,12,8982.0,24,1031,76.0,75.0,185.0,13,0.0,0,20.21,1976 - 1988,Scott McGregor,2,1.0,2140.6666666666665,3.9898785425101218
339,sutclri01,171,139,457,392,72,6,8093,2662,1223,236,1081,1679,4.932,75.0,100,46.0,38,11548.0,30,1324,110.0,89.0,185.0,18,0.0,0,31.18,1976 - 1994,Rick Sutcliffe,2,0.0,2697.6666666666665,4.0801927591745955
341,bannifl01,134,143,431,363,62,0,7164,2320,1078,291,846,1723,3.882,39.0,84,40.0,9,10187.0,13,1189,79.0,61.0,171.0,15,0.0,0,26.43,1977 - 1992,Floyd Bannister,2,0.0,2388.0,4.062814070351759
342,clancji01,140,167,472,381,74,10,7552,2513,1182,244,947,1422,4.1850000000000005,45.0,101,32.0,4,10772.0,38,1304,70.0,84.0,212.0,15,0.0,0,20.74,1977 - 1991,Jim Clancy,2,0.0,2517.3333333333335,4.225900423728813
344,honeyri01,109,143,797,268,47,38,6480,2183,893,185,657,1038,6.631000000000001,81.0,45,50.0,23,9141.0,118,1034,99.0,73.0,235.0,21,0.0,0,21.25,1977 - 1997,Rick Honeycutt,2,0.0,2160.0,3.720833333333333
345,lampde01,96,96,639,163,21,35,5492,1975,799,122,549,857,4.515,86.0,44,35.0,14,7823.0,173,915,95.0,40.0,215.0,16,0.0,0,15.95,1977 - 1992,Dennis Lamp,2,0.0,1830.6666666666667,3.928077203204661
346,morrija02,254,186,549,527,175,0,11472,3567,1657,389,1390,2478,4.492,99.0,206,58.0,27,16120.0,10,1815,113.0,114.0,299.0,18,1.0,Veterans,43.61,1977 - 1994,Jack Morris,2,3.0,3824.0,3.8998430962343096
348,stanlbo01,115,97,637,85,21,132,5121,1858,690,113,471,693,3.657000000000001,87.0,22,41.0,2,7238.0,377,797,79.0,58.0,255.0,13,0.0,0,23.85,1977 - 1989,Bob Stanley,2,0.0,1707.0,3.637961335676626
349,whitsed01,126,123,452,333,35,8,6720,2240,944,211,698,1266,4.4510000000000005,54.0,32,29.0,14,9479.0,48,1045,101.0,78.0,160.0,15,0.0,0,22.66,1977 - 1991,Ed Whitson,2,0.0,2240.0,3.7928571428571427
351,darwida01,171,182,716,371,53,32,9050,2951,1286,321,874,1942,6.55,101.0,52,81.0,17,12716.0,171,1431,124.0,111.0,194.0,21,0.0,0,40.28,1978 - 1998,Danny Darwin,2,0.0,3016.6666666666665,3.836685082872928
352,lacosmi01,98,103,415,243,26,12,5219,1786,777,99,725,783,3.856,86.0,55,29.0,23,7496.0,61,885,91.0,48.0,210.0,14,0.0,0,1.16,1978 - 1991,Mike LaCoss,2,0.0,1739.6666666666667,4.019735581529028
353,mcwilla01,78,90,370,224,34,3,4675,1548,690,137,542,940,4.003,58.0,52,52.0,15,6702.0,44,768,98.0,31.0,109.0,13,0.0,0,11.75,1978 - 1990,Larry McWilliams,2,0.0,1558.3333333333333,3.9850267379679147
355,morgami01,141,186,597,411,46,8,8317,2943,1303,270,938,1403,7.217,77.0,105,73.0,5,11872.0,56,1431,124.0,75.0,332.0,22,0.0,0,28.74,1978 - 2002,Mike Morgan,2,0.0,2772.3333333333335,4.230010821209571
357,sandesc01,163,143,472,407,43,5,7685,2590,1093,297,625,1611,5.407,51.0,39,43.0,22,10709.0,18,1209,94.0,94.0,150.0,19,0.0,0,29.36,1978 - 1996,Scott Sanderson,2,0.0,2561.6666666666665,3.8400780741704623
358,stewada01,168,129,523,348,55,19,7889,2499,1154,264,1034,1741,4.798,46.0,119,62.0,23,11251.0,87,1259,93.0,94.0,172.0,16,0.0,0,26.09,1978 - 1995,Dave Stewart,2,4.0,2629.6666666666665,3.949550006337939
359,welchbo01,211,146,506,462,61,8,9276,2894,1191,267,1034,1969,4.266,60.0,55,79.0,45,12956.0,20,1310,122.0,83.0,209.0,17,0.0,0,43.41,1978 - 1994,Bob Welch,2,1.0,3092.0,3.4666882276843465
360,gullibi01,162,136,398,390,54,0,7680,2659,1118,282,622,1279,4.257,82.0,56,34.0,8,10744.0,3,1228,95.0,85.0,162.0,14,0.0,0,23.63,1979 - 1994,Bill Gullickson,2,1.0,2560.0,3.93046875
361,leibrch01,140,119,394,346,52,2,6924,2390,952,172,656,1121,3.679,44.0,63,37.0,31,9774.0,17,1068,110.0,60.0,180.0,14,0.0,0,34.04,1979 - 1993,Charlie Leibrandt,2,0.0,2308.0,3.712305025996534
362,mahleri01,96,111,392,271,43,6,5854,2069,866,165,606,952,3.769,70.0,41,35.0,23,8306.0,32,972,100.0,50.0,185.0,13,0.0,0,19.57,1979 - 1991,Rick Mahler,2,0.0,1951.3333333333333,3.994192005466348
364,petryda01,125,104,370,300,52,1,6241,1984,912,218,852,1063,3.898,74.0,77,47.0,7,8860.0,22,1025,67.0,57.0,213.0,13,0.0,0,17.08,1979 - 1991,Dan Petry,2,0.0,2080.3333333333335,3.945521551033488
367,scottmi03,124,108,347,319,45,3,6206,1858,813,173,627,1469,3.4210000000000003,53.0,39,33.0,19,8571.0,13,908,100.0,65.0,122.0,13,0.0,0,24.04,1979 - 1991,Mike Scott,2,1.0,2068.6666666666665,3.5370609087979377
368,stiebda01,176,137,443,412,103,3,8686,2572,1106,225,1034,1669,3.957,36.0,51,129.0,14,12072.0,14,1225,98.0,70.0,235.0,16,0.0,0,56.51,1979 - 1998,Dave Stieb,2,0.0,2895.3333333333335,3.4379461201934145
369,boddimi01,134,116,342,309,63,3,6371,2082,897,188,721,1330,3.886,39.0,60,87.0,8,8999.0,15,992,54.0,50.0,194.0,14,0.0,0,31.33,1980 - 1993,Mike Boddicker,2,1.0,2123.6666666666665,3.8014440433213
372,hurstbr01,145,113,379,359,83,0,7252,2463,1052,258,740,1689,4.432,42.0,56,28.0,19,10204.0,5,1143,87.0,55.0,195.0,15,0.0,0,34.53,1980 - 1994,Bruce Hurst,2,0.0,2417.3333333333335,3.916712630998345
373,ojedabo01,115,98,351,291,41,1,5653,1833,764,145,676,1128,4.316000000000001,48.0,30,24.0,19,7977.0,26,856,85.0,62.0,151.0,15,0.0,0,24.38,1980 - 1994,Bob Ojeda,2,0.0,1884.3333333333333,3.649035910136211
376,valenfe01,173,153,453,424,113,2,8790,2718,1154,226,1151,2074,4.643,65.0,119,25.0,11,12398.0,10,1303,182.0,69.0,209.0,17,0.0,0,37.36,1980 - 1997,Fernando Valenzuela,2,1.0,2930.0,3.5447098976109217
377,walkbo01,105,81,350,259,16,5,4998,1671,746,143,606,848,3.743,36.0,80,40.0,33,7127.0,24,829,74.0,42.0,137.0,14,0.0,0,5.59,1980 - 1993,Bob Walk,2,0.0,1666.0,4.030012004801921
380,blackbu02,121,116,398,296,32,11,6160,1978,876,217,623,1039,4.555,49.0,65,49.0,43,8627.0,42,982,78.0,55.0,160.0,15,0.0,0,21.1,1981 - 1995,Buddy Black,2,0.0,2053.3333333333335,3.8396103896103893
382,learyti01,78,105,292,224,25,1,4474,1570,723,147,535,888,3.933,45.0,87,52.0,13,6437.0,28,792,53.0,42.0,146.0,13,0.0,0,10.47,1981 - 1994,Tim Leary,2,0.0,1491.3333333333333,4.363209655789003
386,smithbr01,108,94,365,255,23,6,5374,1725,702,140,432,1028,3.421,43.0,33,48.0,16,7434.0,39,808,87.0,47.0,146.0,13,0.0,0,16.48,1981 - 1993,Bryn Smith,2,0.0,1791.3333333333333,3.5269817640491254
387,davisst02,113,96,442,239,30,11,5342,1792,796,136,687,1048,3.868,59.0,81,20.0,10,7623.0,85,866,50.0,57.0,172.0,13,0.0,0,17.330000000000002,1982 - 1994,Storm Davis,2,0.0,1780.6666666666667,4.023212280044927
391,mooremi01,161,176,450,440,79,2,8495,2858,1381,291,1156,1667,3.719,61.0,135,55.0,11,12203.0,6,1516,71.0,84.0,261.0,14,0.0,0,27.92,1982 - 1995,Mike Moore,2,0.0,2831.6666666666665,4.389287816362566
393,violafr01,176,150,421,420,74,0,8509,2827,1175,294,864,1844,4.345,39.0,86,48.0,12,11933.0,0,1303,88.0,63.0,215.0,15,0.0,0,47.13,1982 - 1996,Frank Viola,2,2.0,2836.3333333333335,3.7284052180044656
394,candito01,151,164,451,410,68,0,8175,2662,1130,250,883,1735,4.707999999999999,31.0,120,85.0,27,11568.0,11,1299,108.0,91.0,221.0,16,0.0,0,42.31,1983 - 1999,Tom Candiotti,2,0.0,2725.0,3.7321100917431194
395,darliro01,136,116,382,364,37,0,7081,2244,1016,239,906,1590,3.881,40.0,97,59.0,24,10032.0,5,1139,95.0,73.0,166.0,13,0.0,0,18.84,1983 - 1995,Ron Darling,2,0.0,2360.3333333333335,3.874029091936167
396,deleojo01,86,119,415,264,21,6,5692,1556,793,153,841,1594,3.815,50.0,60,62.0,8,7985.0,36,877,77.0,63.0,96.0,13,0.0,0,17.45,1983 - 1995,Jose DeLeon,2,0.0,1897.3333333333333,3.7615952213633173
397,fernasi01,114,96,307,300,25,1,5600,1421,696,191,715,1743,3.519,33.0,22,41.0,19,7668.0,2,749,62.0,57.0,73.0,15,0.0,0,31.41,1983 - 1997,Sid Fernandez,2,0.0,1866.6666666666667,3.3557142857142854
398,grosske01,142,158,474,368,42,5,7463,2519,1137,230,986,1727,4.026,76.0,53,79.0,35,10791.0,38,1245,104.0,70.0,158.0,15,0.0,0,25.75,1983 - 1997,Kevin Gross,2,0.0,2487.6666666666665,4.113493233284203
399,hershor01,204,150,510,466,68,5,9391,2939,1211,235,1007,2014,4.627000000000001,108.0,121,117.0,23,13150.0,19,1366,124.0,73.0,314.0,18,0.0,0,51.35,1983 - 2000,Orel Hershiser,2,1.0,3130.3333333333335,3.4817378340964753
400,jacksda02,112,131,353,324,44,1,6218,2110,923,133,816,1225,4.77,39.0,47,50.0,12,8986.0,11,1061,117.0,68.0,208.0,15,0.0,0,17.95,1983 - 1997,Danny Jackson,2,1.0,2072.6666666666665,4.0078803473785785
401,kruegbi01,68,66,301,164,9,4,3583,1305,577,104,493,639,5.138,32.0,70,24.0,10,5257.0,34,685,33.0,48.0,125.0,13,0.0,0,2.7700000000000005,1983 - 1995,Bill Krueger,2,0.0,1194.3333333333333,4.348032375104661
403,bielemi01,70,73,347,178,7,5,3693,1236,572,116,496,783,3.964,45.0,51,19.0,15,5329.0,48,633,62.0,38.0,83.0,14,0.0,0,7.56,1984 - 1997,Mike Bielecki,2,0.0,1231.0,4.181965881397238
404,clemero02,354,184,709,707,118,0,14750,4185,1707,363,1580,4672,5.540000000000002,63.0,143,159.0,20,20240.0,0,1885,119.0,103.0,329.0,24,0.0,0,138.67000000000002,1984 - 2007,Roger Clemens,2,6.0,4916.666666666667,3.124677966101695
406,goodedw01,194,112,430,410,68,3,8402,2564,1091,210,954,2293,4.643,42.0,76,78.0,33,11705.0,4,1198,84.0,68.0,197.0,16,0.0,0,48.16,1984 - 2000,Dwight Gooden,2,1.0,2800.6666666666665,3.5059509640561775
407,gubicma01,132,136,384,329,42,2,6670,2239,978,155,786,1371,3.961,39.0,107,58.0,11,9487.0,14,1063,65.0,82.0,214.0,14,0.0,0,37.38,1984 - 1997,Mark Gubicza,2,1.0,2223.3333333333335,3.958920539730135
408,keyji01,186,117,470,389,34,10,7775,2518,1010,254,668,1538,3.93,29.0,50,38.0,12,10719.0,28,1104,88.0,69.0,234.0,15,0.0,0,49.0,1984 - 1998,Jimmy Key,2,0.0,2591.6666666666665,3.5073954983922833
409,langsma01,179,158,457,428,81,0,8888,2723,1306,311,1289,2464,4.316000000000001,34.0,89,46.0,22,12562.0,3,1438,89.0,81.0,248.0,16,0.0,0,49.95,1984 - 1999,Mark Langston,2,0.0,2962.6666666666665,3.9673717371737176
410,rijojo01,116,91,376,269,22,3,5640,1710,676,147,663,1606,3.54,34.0,30,28.0,28,7867.0,43,772,81.0,45.0,119.0,14,0.0,0,34.95,1984 - 2002,Jose Rijo,2,0.0,1880.0,3.2361702127659573
411,saberbr01,167,117,399,371,76,1,7688,2452,952,218,471,1715,4.420999999999999,34.0,53,59.0,12,10421.0,13,1036,89.0,68.0,167.0,16,0.0,0,58.93,1984 - 2001,Bret Saberhagen,2,2.0,2562.6666666666665,3.3433922996878254
412,smithza01,100,115,360,291,35,3,5758,1980,798,122,583,1011,3.9850000000000008,55.0,28,31.0,5,8077.0,16,933,110.0,42.0,263.0,13,0.0,0,20.74,1984 - 1996,Zane Smith,2,0.0,1919.3333333333333,3.741924279263633
416,portuma01,109,95,346,283,16,5,5479,1813,817,209,607,1134,4.262,27.0,57,36.0,7,7726.0,24,896,78.0,46.0,159.0,15,0.0,0,15.91,1985 - 1999,Mark Portugal,2,0.0,1826.3333333333333,4.026099653221391
417,swiftbi02,94,78,403,220,11,27,4799,1688,702,116,507,767,3.621,42.0,38,53.0,16,6817.0,67,801,55.0,30.0,235.0,13,0.0,0,18.92,1985 - 1998,Bill Swift,2,1.0,1599.6666666666667,3.949572827672432
419,brownke01,211,144,486,476,72,0,9769,3079,1185,208,901,2397,4.953,42.0,108,139.0,15,13542.0,1,1357,95.0,64.0,330.0,19,0.0,0,68.21,1986 - 2005,Kevin Brown,2,1.0,3256.3333333333335,3.275156106049749
420,coneda01,194,126,450,419,56,1,8696,2504,1115,258,1137,2668,4.507000000000001,42.0,149,106.0,32,12184.0,9,1222,76.0,82.0,138.0,17,0.0,0,61.58,1986 - 2003,David Cone,2,2.0,2898.6666666666665,3.461936522539099
421,drabedo01,155,134,398,387,53,0,7605,2448,1052,246,704,1594,3.345,56.0,80,53.0,6,10518.0,4,1141,97.0,69.0,177.0,13,0.0,0,27.57,1986 - 1998,Doug Drabek,2,1.0,2535.0,3.7349112426035505
422,finlech01,200,173,524,467,63,0,9592,3069,1366,304,1332,2610,4.598000000000001,36.0,130,76.0,22,13638.0,24,1517,104.0,85.0,305.0,17,0.0,0,58.32,1986 - 2002,Chuck Finley,2,0.0,3197.3333333333335,3.8450792326939114
424,maddugr01,355,227,744,740,109,0,15025,4726,1756,353,999,3371,6.382000000000001,177.0,70,137.0,28,20421.0,3,1981,274.0,119.0,422.0,23,1.0,BBWAA,104.78,1986 - 2008,Greg Maddux,2,2.0,5008.333333333333,3.1555407653910152
426,moyerja01,269,209,696,638,33,0,12222,4231,1926,522,1155,2441,7.350000000000002,69.0,57,146.0,12,17356.0,15,2076,146.0,106.0,332.0,25,0.0,0,49.95,1986 - 2012,Jamie Moyer,2,2.0,4074.0,4.254786450662739
427,mulhote01,124,142,685,332,46,5,7727,2833,1262,293,681,1325,7.6190000000000015,65.0,64,70.0,3,11060.0,128,1396,133.0,84.0,267.0,20,0.0,0,12.91,1986 - 2006,Terry Mulholland,2,0.0,2575.6666666666665,4.409732108192054
430,swindgr01,123,122,664,269,40,7,6700,2313,957,262,501,1542,5.121,34.0,30,21.0,12,9301.0,93,1053,94.0,65.0,137.0,17,0.0,0,30.18,1986 - 2002,Greg Swindell,2,0.0,2233.3333333333335,3.856567164179104
431,tewksbo01,110,102,302,277,31,1,5421,2043,787,142,292,812,4.25,22.0,24,41.0,7,7623.0,8,884,94.0,74.0,171.0,13,0.0,0,21.25,1986 - 1998,Bob Tewksbury,2,0.0,1807.0,3.9197565024903156
432,wittbo01,142,157,430,397,47,0,7395,2493,1324,252,1375,1955,5.170000000000001,37.0,128,39.0,26,11003.0,13,1449,78.0,97.0,216.0,16,0.0,0,14.67,1986 - 2001,Bobby Witt,2,0.0,2465.0,4.834077079107505
433,belchti01,146,140,394,373,42,5,7328,2423,1130,264,860,1519,3.884,43.0,73,58.0,10,10422.0,13,1253,82.0,73.0,180.0,14,0.0,0,26.73,1987 - 2000,Tim Belcher,2,0.0,2442.6666666666665,4.163482532751092
434,burkejo03,166,136,445,423,21,1,7945,2866,1268,257,700,1766,4.475,59.0,33,90.0,8,11324.0,8,1374,107.0,69.0,224.0,15,0.0,0,21.78,1987 - 2003,John Burkett,2,1.0,2648.3333333333335,4.309125235997483
